journal_canonical,n_papers,mean_citations,median_citations,total_citations,first_year,last_year,pct_uncited
Journal of affective disorders,2345,33.51,21.0,78574,1989,2023,0.38
Suicide & life-threatening behavior,2010,54.9,31.0,110346,1989,2023,2.04
,1308,0.12,0.0,159,1995,2023,91.74
Crisis,1231,30.06,17.0,37010,1989,2023,4.47
Archives of suicide research : official journal of the International Academy for Suicide Research,1217,33.83,18.0,41166,1995,2023,1.81
Psychiatry research,1139,29.21,17.0,33270,1989,2023,0.79
Frontiers in psychiatry,1083,36.92,13.0,39981,1995,2023,2.31
International journal of environmental research and public health,1007,34.16,11.0,34395,1992,2023,1.39
BMC psychiatry,918,45.79,17.0,42039,1991,2023,0.33
PloS one,896,38.76,19.0,34728,1991,2023,1.12
The Journal of clinical psychiatry,630,51.93,31.0,32713,1989,2023,0.95
Acta psychiatrica Scandinavica,603,42.99,28.0,25924,1989,2023,0.33
Journal of psychiatric research,602,35.99,19.5,21664,1990,2023,1.0
Social psychiatry and psychiatric epidemiology,581,36.18,21.0,21021,1989,2023,0.69
Death Studies,547,31.93,16.0,17467,1989,2023,4.57
Psychological medicine,508,57.49,31.0,29205,1989,2023,0.79
European psychiatry : the journal of the Association of European Psychiatrists,506,14.48,0.0,7327,1995,2023,51.38
BMC public health,499,41.2,20.0,20560,1989,2023,0.4
Journal of the American Academy of Child and Adolescent Psychiatry,472,67.56,41.0,31889,1989,2023,4.24
The British journal of psychiatry : the journal of mental science,468,67.13,44.0,31416,1989,2023,0.0
BMJ open,460,28.95,12.0,13317,1989,2023,1.74
Journal of forensic sciences,437,12.29,8.0,5369,1989,2023,4.58
OMEGA - Journal of Death and Dying,410,19.28,12.0,7905,1989,2023,1.71
Forensic science international,402,18.37,13.0,7384,1989,2023,1.0
The American journal of forensic medicine and pathology,401,13.28,9.0,5327,1989,2023,5.74
The American journal of psychiatry,398,118.34,84.0,47099,1989,2023,0.0
Comprehensive psychiatry,394,32.08,22.0,12641,1989,2023,0.0
The Journal of nervous and mental disease,378,29.39,15.0,11109,1989,2023,2.12
L'Encephale,375,7.79,4.0,2922,1991,2023,9.87
The Australian and New Zealand journal of psychiatry,370,32.0,18.0,11839,1989,2023,0.81
"Psychiatric services (Washington, D.C.)",345,30.76,18.0,10612,1995,2023,0.87
Psychological reports,324,8.06,4.0,2612,1989,2023,14.2
Canadian journal of psychiatry. Revue canadienne de psychiatrie,322,31.72,19.0,10214,1989,2023,0.31
Journal of clinical psychology,307,26.56,12.0,8155,1989,2023,0.65
Frontiers in psychology,307,25.25,11.0,7753,2000,2023,2.28
The Journal of adolescent health : official publication of the Society for Adolescent Medicine,301,46.7,26.0,14056,1991,2023,0.33
Cureus,299,7.46,3.0,2231,2013,2023,15.05
Social science & medicine (1982),295,46.64,24.0,13759,1989,2023,0.34
General hospital psychiatry,294,24.03,18.0,7065,1989,2023,1.02
Journal of forensic and legal medicine,250,11.02,8.0,2756,2006,2023,3.2
Scientific reports,240,40.72,15.0,9773,1990,2023,0.83
"Medicine, science, and the law",234,9.47,6.0,2217,1989,2023,4.7
Depression and anxiety,229,51.6,33.0,11817,1996,2023,0.44
European child & adolescent psychiatry,228,41.96,24.0,9568,1992,2023,0.0
Frontiers in public health,225,27.51,10.0,6190,1995,2023,0.89
Psychiatria Danubina,223,6.45,4.0,1439,2003,2023,18.39
The International journal of social psychiatry,223,15.51,9.0,3458,1989,2023,3.14
American journal of public health,216,82.3,51.0,17777,1989,2023,0.0
Child abuse & neglect,216,47.5,21.0,10260,1990,2023,0.46
JAMA network open,213,55.87,33.0,11901,1998,2023,0.47
Schizophrenia research,206,39.72,26.5,8183,1991,2023,1.46
Pediatrics,202,87.89,53.0,17753,1989,2023,0.5
Military medicine,201,13.83,7.0,2779,1989,2023,7.46
"Clinical toxicology (Philadelphia, Pa.)",200,19.68,11.0,3936,2005,2023,2.5
Archiv fur Kriminologie,195,2.94,2.0,573,1989,2017,17.44
Asian journal of psychiatry,193,13.98,11.0,2699,2009,2023,1.55
European archives of psychiatry and clinical neuroscience,191,44.6,19.0,8518,1991,2023,0.52
Biological psychiatry,189,104.9,63.0,19826,1989,2023,0.0
BJPsych open,189,12.65,7.0,2390,2015,2023,20.63
Bipolar disorders,179,60.39,36.0,10809,1999,2023,0.56
