n_authors,n,pct
1,8443,8.8
2,11934,12.4
3,13926,14.4
4,13904,14.4
5,12217,12.7
6,10011,10.4
7,7087,7.4
8,5170,5.4
9,3732,3.9
10,2763,2.9
11,1803,1.9
12,1351,1.4
13,943,1.0
14,642,0.7
15,473,0.5
16,386,0.4
17,273,0.3
18,219,0.2
19,167,0.2
20,139,0.1
21,120,0.1
22,108,0.1
23,74,0.1
24,61,0.1
25,69,0.1
26,44,0.0
27,57,0.1
28,33,0.0
29,30,0.0
30,35,0.0
31,11,0.0
32,13,0.0
33,15,0.0
34,8,0.0
35,10,0.0
36,13,0.0
37,8,0.0
38,8,0.0
39,3,0.0
40,5,0.0
41,3,0.0
42,4,0.0
43,3,0.0
44,4,0.0
45,3,0.0
46,1,0.0
47,1,0.0
48,4,0.0
49,4,0.0
50,2,0.0
51,3,0.0
53,2,0.0
54,1,0.0
55,1,0.0
56,1,0.0
61,3,0.0
63,3,0.0
64,4,0.0
65,2,0.0
66,3,0.0
67,1,0.0
68,1,0.0
69,1,0.0
70,1,0.0
71,1,0.0
74,1,0.0
77,2,0.0
78,1,0.0
79,2,0.0
83,1,0.0
90,1,0.0
91,2,0.0
93,1,0.0
96,4,0.0
105,1,0.0
114,1,0.0
116,1,0.0
121,1,0.0
122,3,0.0
123,1,0.0
126,1,0.0
152,2,0.0
155,1,0.0
157,2,0.0
158,1,0.0
166,2,0.0
169,1,0.0
171,1,0.0
176,1,0.0
191,1,0.0
219,1,0.0
228,1,0.0
236,1,0.0
240,1,0.0
256,1,0.0
272,1,0.0
313,1,0.0
445,1,0.0
611,1,0.0
1693,1,0.0
