journal_canonical,n_papers,mean_citations,median_citations,total_citations,first_year,last_year,pct_uncited
Journal of affective disorders,2054,34.96,23.0,71810,1989,2022,0.29
Suicide & life-threatening behavior,1981,57.34,33.0,113582,1989,2022,1.67
Crisis,1218,31.27,18.0,38089,1989,2022,3.69
Archives of suicide research : official journal of the International Academy for Suicide Research,1161,35.69,19.0,41441,1994,2022,1.46
,1142,0.87,0.0,989,1989,2022,87.92
Psychiatry research,1047,30.94,18.0,32393,1989,2022,0.57
International journal of environmental research and public health,907,32.55,12.0,29525,1993,2022,1.32
Frontiers in psychiatry,890,41.29,16.0,36752,1998,2022,1.35
PloS one,803,41.1,22.0,33000,1994,2022,0.5
BMC psychiatry,796,49.88,20.0,39705,1992,2022,0.0
Acta psychiatrica Scandinavica,618,57.72,37.0,35670,1989,2022,0.49
The Journal of clinical psychiatry,611,57.8,36.0,35315,1989,2022,0.65
Social psychiatry and psychiatric epidemiology,557,34.5,21.0,19218,1989,2022,0.72
The British journal of psychiatry : the journal of mental science,548,75.62,43.0,41438,1989,2022,3.47
Journal of psychiatric research,532,39.33,22.0,20925,1990,2022,0.19
Death Studies,524,33.09,17.0,17338,1989,2022,4.58
European psychiatry : the journal of the Association of European Psychiatrists,467,16.03,2.0,7488,1992,2022,47.32
Psychological medicine,463,67.36,39.0,31186,1989,2022,0.65
BMC public health,445,45.01,22.0,20029,1994,2022,0.45
Journal of the American Academy of Child and Adolescent Psychiatry,445,71.11,44.0,31646,1989,2022,2.92
Journal of forensic sciences,422,14.41,9.0,6082,1989,2022,2.84
Psychological reports,420,10.05,4.0,4222,1989,2022,17.38
BMJ open,404,31.81,14.5,12853,1989,2022,0.74
Forensic science international,398,18.37,13.0,7310,1989,2022,1.01
The American journal of forensic medicine and pathology,393,15.41,10.0,6058,1989,2022,4.58
The American journal of psychiatry,392,150.31,111.5,58923,1989,2022,0.0
Comprehensive psychiatry,386,32.61,22.0,12587,1989,2022,0.0
OMEGA - Journal of Death and Dying,381,20.22,13.0,7702,1989,2022,0.52
L'Encephale,372,7.95,4.0,2959,1991,2022,9.14
The Australian and New Zealand journal of psychiatry,366,37.27,21.0,13642,1989,2022,1.37
The Journal of nervous and mental disease,365,33.64,18.0,12279,1989,2022,1.1
"Psychiatric services (Washington, D.C.)",338,33.5,20.0,11322,1990,2022,0.89
Canadian journal of psychiatry. Revue canadienne de psychiatrie,314,35.12,22.0,11028,1989,2022,0.32
Journal of clinical psychology,290,33.42,15.0,9691,1989,2022,1.03
General hospital psychiatry,282,25.34,19.0,7145,1989,2022,0.35
Social science & medicine (1982),278,49.27,25.0,13697,1989,2022,0.36
The Journal of adolescent health : official publication of the Society for Adolescent Medicine,272,50.5,29.0,13736,1991,2022,0.0
Frontiers in psychology,251,28.2,13.0,7079,2000,2022,1.2
BMJ (Clinical research ed.),245,95.18,38.0,23319,1989,2022,12.65
Journal of forensic and legal medicine,242,11.3,8.0,2734,2006,2022,3.31
