year,mean_authors,median_authors,n,pct_single_authored,pct_multi_authored
1989,2.65,2.0,838,29.83,70.17
1990,2.67,2.0,901,29.63,70.37
1991,2.69,2.0,898,32.85,67.15
1992,2.9,2.0,988,28.04,71.96
1993,2.8,2.0,1002,32.83,67.17
1994,2.8,2.0,1145,30.92,69.08
1995,2.9,2.0,1207,30.57,69.43
1996,3.08,2.0,1174,27.09,72.91
1997,3.16,3.0,1348,26.71,73.29
1998,3.18,3.0,1424,27.46,72.54
1999,3.29,3.0,1390,24.39,75.61
2000,3.43,3.0,1467,23.11,76.89
2001,3.82,3.0,1287,17.25,82.75
2002,3.76,3.0,1276,16.14,83.86
2003,3.87,3.0,1399,17.58,82.42
2004,4.05,4.0,1470,14.9,85.1
2005,4.23,4.0,1730,12.83,87.17
2006,4.32,4.0,1928,12.86,87.14
2007,4.4,4.0,1915,13.26,86.74
2008,4.46,4.0,2055,11.68,88.32
2009,4.51,4.0,2196,11.2,88.8
2010,4.85,4.0,2355,10.06,89.94
2011,4.91,4.0,2384,9.94,90.06
2012,5.03,4.0,2633,9.19,90.81
2013,4.99,4.0,2855,8.23,91.77
2014,5.3,5.0,3104,6.77,93.23
2015,5.52,5.0,3223,6.33,93.67
2016,5.97,5.0,3463,6.73,93.27
2017,5.62,5.0,3555,6.69,93.31
2018,5.8,5.0,3994,5.63,94.37
2019,5.8,5.0,4263,5.89,94.11
2020,6.16,5.0,5308,4.58,95.42
2021,6.24,5.0,6150,4.78,95.22
2022,6.38,5.0,6060,3.89,96.11
2023,6.57,6.0,6156,3.77,96.23
2024,6.62,6.0,6462,3.51,96.49
2025,6.68,6.0,7584,4.01,95.99
