year,n_total,n_specialty,pct_specialty,pct_dispersed
1989,847,21,2.48,97.52
1990,902,25,2.77,97.23
1991,905,19,2.1,97.9
1992,993,33,3.32,96.68
1993,1015,33,3.25,96.75
1994,1155,35,3.03,96.97
1995,1217,80,6.57,93.43
1996,1188,72,6.06,93.94
1997,1356,95,7.01,92.99
1998,1437,98,6.82,93.18
1999,1400,78,5.57,94.43
2000,1475,51,3.46,96.54
2001,1289,72,5.59,94.41
2002,1279,98,7.66,92.34
2003,1403,99,7.06,92.94
2004,1470,108,7.35,92.65
2005,1732,123,7.1,92.9
2006,1933,129,6.67,93.33
2007,1919,140,7.3,92.7
2008,2059,141,6.85,93.15
2009,2204,131,5.94,94.06
2010,2366,152,6.42,93.58
2011,2388,146,6.11,93.89
2012,2637,147,5.57,94.43
2013,2859,158,5.53,94.47
2014,3110,192,6.17,93.83
2015,3230,172,5.33,94.67
2016,3478,246,7.07,92.93
2017,3565,169,4.74,95.26
2018,3996,218,5.46,94.54
2019,4265,211,4.95,95.05
2020,5316,274,5.15,94.85
2021,6156,305,4.95,95.05
2022,6100,211,3.46,96.54
2023,6159,203,3.3,96.7
2024,6468,218,3.37,96.63
2025,7587,212,2.79,97.21
