year,n_total,n_empirical,pct_empirical
1989,703,544,77.38
1990,732,568,77.6
1991,736,568,77.17
1992,788,582,73.86
1993,833,627,75.27
1994,914,730,79.87
1995,932,685,73.5
1996,938,733,78.14
1997,1116,846,75.81
1998,1135,874,77.0
1999,1104,873,79.08
2000,1172,908,77.47
2001,1261,977,77.48
2002,1241,967,77.92
2003,1356,1056,77.88
2004,1430,1142,79.86
2005,1677,1328,79.19
2006,1869,1462,78.22
2007,1872,1518,81.09
2008,1998,1590,79.58
2009,2149,1755,81.67
2010,2289,1877,82.0
2011,2321,1907,82.16
2012,2570,2083,81.05
2013,2790,2300,82.44
2014,3023,2521,83.39
2015,3129,2650,84.69
2016,3380,2835,83.88
2017,3458,2926,84.62
2018,3896,3335,85.6
2019,4128,3556,86.14
2020,5194,4505,86.73
2021,5999,5220,87.01
2022,5947,5207,87.56
2023,6032,5324,88.26
