year,n_articles,n_journals
1989,730,326
1990,751,339
1991,768,345
1992,829,396
1993,866,388
1994,941,392
1995,969,420
1996,973,421
1997,1147,497
1998,1181,501
1999,1150,495
2000,1198,530
2001,1289,560
2002,1279,582
2003,1403,600
2004,1470,623
2005,1732,702
2006,1933,751
2007,1919,762
2008,2059,805
2009,2204,834
2010,2365,925
2011,2384,950
2012,2637,992
2013,2859,1035
2014,3110,1108
2015,3230,1128
2016,3478,1167
2017,3563,1207
2018,4000,1268
2019,4269,1326
2020,5319,1444
2021,6160,1543
2022,6104,1544
2023,6167,1518
