means_focus,n,pct,decade,denominator
none,608,83.3,1989,730
poisoning_overdose,81,11.1,1989,730
firearm,21,2.9,1989,730
hanging,12,1.6,1989,730
pesticide,11,1.5,1989,730
drowning,7,1.0,1989,730
jumping,4,0.5,1989,730
none,8216,85.8,1990s,9575
poisoning_overdose,750,7.8,1990s,9575
firearm,297,3.1,1990s,9575
hanging,200,2.1,1990s,9575
pesticide,139,1.5,1990s,9575
drowning,88,0.9,1990s,9575
jumping,66,0.7,1990s,9575
none,14200,86.1,2000s,16486
poisoning_overdose,1235,7.5,2000s,16486
firearm,479,2.9,2000s,16486
hanging,473,2.9,2000s,16486
pesticide,307,1.9,2000s,16486
drowning,144,0.9,2000s,16486
jumping,125,0.8,2000s,16486
none,28351,88.9,2010s,31895
poisoning_overdose,1862,5.8,2010s,31895
firearm,758,2.4,2010s,31895
hanging,744,2.3,2010s,31895
pesticide,441,1.4,2010s,31895
jumping,245,0.8,2010s,31895
drowning,180,0.6,2010s,31895
none,34156,90.0,2020s,37955
poisoning_overdose,1792,4.7,2020s,37955
firearm,1041,2.7,2020s,37955
hanging,625,1.6,2020s,37955
jumping,395,1.0,2020s,37955
pesticide,344,0.9,2020s,37955
drowning,131,0.3,2020s,37955
