outcome_construct,n,pct,decade,denominator
not_specified,495,58.4,1989,847
suicide_attempt,161,19.0,1989,847
suicide_death,95,11.2,1989,847
suicidal_ideation,55,6.5,1989,847
self_harm_undifferentiated,37,4.4,1989,847
non_suicidal_self_injury,19,2.2,1989,847
attitudes_or_stigma,14,1.7,1989,847
service_use_or_care_process,11,1.3,1989,847
suicide_bereavement,4,0.5,1989,847
not_specified,6934,59.9,1990s,11568
suicide_attempt,2147,18.6,1990s,11568
suicide_death,1264,10.9,1990s,11568
suicidal_ideation,938,8.1,1990s,11568
self_harm_undifferentiated,407,3.5,1990s,11568
attitudes_or_stigma,264,2.3,1990s,11568
non_suicidal_self_injury,227,2.0,1990s,11568
service_use_or_care_process,187,1.6,1990s,11568
suicide_bereavement,47,0.4,1990s,11568
not_specified,8195,48.9,2000s,16763
suicide_attempt,3806,22.7,2000s,16763
suicidal_ideation,2412,14.4,2000s,16763
suicide_death,1925,11.5,2000s,16763
self_harm_undifferentiated,1359,8.1,2000s,16763
service_use_or_care_process,516,3.1,2000s,16763
attitudes_or_stigma,456,2.7,2000s,16763
non_suicidal_self_injury,404,2.4,2000s,16763
suicide_bereavement,54,0.3,2000s,16763
not_specified,12672,39.7,2010s,31894
suicide_attempt,7463,23.4,2010s,31894
suicidal_ideation,7361,23.1,2010s,31894
self_harm_undifferentiated,3498,11.0,2010s,31894
suicide_death,3468,10.9,2010s,31894
non_suicidal_self_injury,1439,4.5,2010s,31894
service_use_or_care_process,1283,4.0,2010s,31894
attitudes_or_stigma,1148,3.6,2010s,31894
suicide_bereavement,234,0.7,2010s,31894
suicidal_ideation,13585,32.0,2020s,42456
not_specified,13395,31.6,2020s,42456
suicide_attempt,8867,20.9,2020s,42456
self_harm_undifferentiated,5655,13.3,2020s,42456
suicide_death,4653,11.0,2020s,42456
non_suicidal_self_injury,2936,6.9,2020s,42456
service_use_or_care_process,2263,5.3,2020s,42456
attitudes_or_stigma,2110,5.0,2020s,42456
suicide_bereavement,315,0.7,2020s,42456
