population,n,pct,decade,denominator
general_population,510,60.2,1989,847
youth_adolescent,159,18.8,1989,847
clinical_psychiatric,87,10.3,1989,847
occupational,51,6.0,1989,847
older_adult,32,3.8,1989,847
justice_involved,23,2.7,1989,847
primary_care,21,2.5,1989,847
perinatal,17,2.0,1989,847
rural,13,1.5,1989,847
racial_ethnic_minority,8,0.9,1989,847
veteran_military,5,0.6,1989,847
indigenous,5,0.6,1989,847
lgbtq,4,0.5,1989,847
general_population,6049,52.3,1990s,11568
youth_adolescent,2187,18.9,1990s,11568
clinical_psychiatric,1570,13.6,1990s,11568
occupational,1279,11.1,1990s,11568
older_adult,520,4.5,1990s,11568
primary_care,305,2.6,1990s,11568
perinatal,200,1.7,1990s,11568
justice_involved,197,1.7,1990s,11568
rural,191,1.7,1990s,11568
veteran_military,134,1.2,1990s,11568
indigenous,117,1.0,1990s,11568
racial_ethnic_minority,109,0.9,1990s,11568
lgbtq,83,0.7,1990s,11568
general_population,7692,45.9,2000s,16763
youth_adolescent,3583,21.4,2000s,16763
clinical_psychiatric,3338,19.9,2000s,16763
occupational,1482,8.8,2000s,16763
older_adult,803,4.8,2000s,16763
primary_care,656,3.9,2000s,16763
rural,398,2.4,2000s,16763
perinatal,393,2.3,2000s,16763
racial_ethnic_minority,283,1.7,2000s,16763
justice_involved,281,1.7,2000s,16763
veteran_military,279,1.7,2000s,16763
indigenous,198,1.2,2000s,16763
lgbtq,140,0.8,2000s,16763
general_population,13577,42.6,2010s,31894
youth_adolescent,7745,24.3,2010s,31894
clinical_psychiatric,6001,18.8,2010s,31894
occupational,2110,6.6,2010s,31894
veteran_military,1450,4.5,2010s,31894
older_adult,1330,4.2,2010s,31894
primary_care,923,2.9,2010s,31894
rural,855,2.7,2010s,31894
perinatal,768,2.4,2010s,31894
racial_ethnic_minority,656,2.1,2010s,31894
lgbtq,645,2.0,2010s,31894
justice_involved,619,1.9,2010s,31894
indigenous,402,1.3,2010s,31894
general_population,16287,38.4,2020s,42456
youth_adolescent,13328,31.4,2020s,42456
clinical_psychiatric,7010,16.5,2020s,42456
occupational,2549,6.0,2020s,42456
veteran_military,1855,4.4,2020s,42456
lgbtq,1592,3.7,2020s,42456
older_adult,1547,3.6,2020s,42456
racial_ethnic_minority,1244,2.9,2020s,42456
perinatal,1115,2.6,2020s,42456
rural,1084,2.6,2020s,42456
primary_care,1039,2.4,2020s,42456
justice_involved,652,1.5,2020s,42456
indigenous,580,1.4,2020s,42456
