prevention_level,n,pct,decade,denominator
not_applicable,803,94.8,1989,847
treatment,38,4.5,1989,847
postvention,4,0.5,1989,847
selective,2,0.2,1989,847
not_applicable,10941,94.6,1990s,11568
treatment,512,4.4,1990s,11568
postvention,50,0.4,1990s,11568
selective,46,0.4,1990s,11568
universal,14,0.1,1990s,11568
indicated,5,0.0,1990s,11568
not_applicable,15437,92.1,2000s,16763
treatment,1091,6.5,2000s,16763
selective,133,0.8,2000s,16763
postvention,53,0.3,2000s,16763
universal,27,0.2,2000s,16763
indicated,22,0.1,2000s,16763
not_applicable,29056,91.1,2010s,31894
treatment,1951,6.1,2010s,31894
selective,374,1.2,2010s,31894
postvention,228,0.7,2010s,31894
indicated,163,0.5,2010s,31894
universal,122,0.4,2010s,31894
not_applicable,38102,89.7,2020s,42456
treatment,2788,6.6,2020s,42456
selective,561,1.3,2020s,42456
indicated,469,1.1,2020s,42456
postvention,293,0.7,2020s,42456
universal,243,0.6,2020s,42456
