sdoh_domain,n,pct,decade,denominator
none,750,88.5,1989,847
economic_stability,28,3.3,1989,847
firearm_access_means,22,2.6,1989,847
incarceration,18,2.1,1989,847
social_community_context,16,1.9,1989,847
neighborhood_environment,10,1.2,1989,847
discrimination_racism,6,0.7,1989,847
housing_homelessness,3,0.4,1989,847
immigration_status,3,0.4,1989,847
education_access,1,0.1,1989,847
none,10003,86.5,1990s,11568
social_community_context,428,3.7,1990s,11568
economic_stability,399,3.4,1990s,11568
firearm_access_means,312,2.7,1990s,11568
incarceration,159,1.4,1990s,11568
discrimination_racism,120,1.0,1990s,11568
neighborhood_environment,115,1.0,1990s,11568
immigration_status,85,0.7,1990s,11568
housing_homelessness,58,0.5,1990s,11568
healthcare_access,31,0.3,1990s,11568
digital_social_media,31,0.3,1990s,11568
education_access,19,0.2,1990s,11568
food_insecurity,5,0.0,1990s,11568
none,13996,83.5,2000s,16763
social_community_context,887,5.3,2000s,16763
economic_stability,663,4.0,2000s,16763
firearm_access_means,573,3.4,2000s,16763
incarceration,232,1.4,2000s,16763
discrimination_racism,194,1.2,2000s,16763
neighborhood_environment,180,1.1,2000s,16763
immigration_status,146,0.9,2000s,16763
healthcare_access,121,0.7,2000s,16763
housing_homelessness,93,0.6,2000s,16763
education_access,74,0.4,2000s,16763
digital_social_media,26,0.2,2000s,16763
food_insecurity,10,0.1,2000s,16763
none,24517,76.9,2010s,31894
social_community_context,2746,8.6,2010s,31894
economic_stability,1564,4.9,2010s,31894
firearm_access_means,1288,4.0,2010s,31894
discrimination_racism,582,1.8,2010s,31894
incarceration,539,1.7,2010s,31894
neighborhood_environment,428,1.3,2010s,31894
healthcare_access,417,1.3,2010s,31894
digital_social_media,402,1.3,2010s,31894
immigration_status,332,1.0,2010s,31894
housing_homelessness,244,0.8,2010s,31894
education_access,226,0.7,2010s,31894
food_insecurity,67,0.2,2010s,31894
none,29344,69.1,2020s,42456
social_community_context,5242,12.3,2020s,42456
firearm_access_means,2666,6.3,2020s,42456
economic_stability,2033,4.8,2020s,42456
digital_social_media,1489,3.5,2020s,42456
discrimination_racism,1341,3.2,2020s,42456
healthcare_access,1004,2.4,2020s,42456
neighborhood_environment,578,1.4,2020s,42456
incarceration,573,1.3,2020s,42456
education_access,438,1.0,2020s,42456
immigration_status,427,1.0,2020s,42456
housing_homelessness,344,0.8,2020s,42456
food_insecurity,156,0.4,2020s,42456
