source_combination,n,pct,n_sources
pubmed,48447,46.8,1
europepmc+pubmed,35107,33.91,2
europepmc,7646,7.39,1
europepmc+pubmed+openalex,6564,6.34,3
openalex,2596,2.51,1
openalex+pubmed,1353,1.31,2
europepmc+europepmc+pubmed,932,0.9,3
europepmc+openalex+openalex+pubmed,295,0.28,4
europepmc+openalex,221,0.21,2
europepmc+pubmed+openalex+openalex,178,0.17,4
europepmc+openalex+pubmed,148,0.14,3
openalex+openalex+pubmed,24,0.02,3
europepmc+europepmc+pubmed+openalex,14,0.01,4
europepmc+pubmed+openalex+openalex+openalex,2,0.0,5
europepmc+europepmc+europepmc+pubmed,1,0.0,4
