study_design,n,pct,decade,denominator
case_control,8,0.9,1989,847
scoping_narrative_review,5,0.6,1989,847
cross_sectional,5,0.6,1989,847
ecological_timeseries,5,0.6,1989,847
psychological_autopsy,4,0.5,1989,847
psychometric,3,0.4,1989,847
systematic_review_meta_analysis,2,0.2,1989,847
qualitative_interview,2,0.2,1989,847
cohort_prospective,2,0.2,1989,847
registry_linkage,1,0.1,1989,847
mixed_methods,1,0.1,1989,847
rct,1,0.1,1989,847
case_control,228,2.0,1990s,11568
cross_sectional,187,1.6,1990s,11568
psychological_autopsy,134,1.2,1990s,11568
ecological_timeseries,106,0.9,1990s,11568
qualitative_interview,77,0.7,1990s,11568
cohort_prospective,76,0.7,1990s,11568
registry_linkage,66,0.6,1990s,11568
scoping_narrative_review,53,0.5,1990s,11568
psychometric,53,0.5,1990s,11568
rct,50,0.4,1990s,11568
systematic_review_meta_analysis,47,0.4,1990s,11568
mixed_methods,18,0.2,1990s,11568
quasi_experimental,6,0.1,1990s,11568
simulation_modelling,2,0.0,1990s,11568
cross_sectional,782,4.7,2000s,16763
case_control,403,2.4,2000s,16763
systematic_review_meta_analysis,287,1.7,2000s,16763
qualitative_interview,254,1.5,2000s,16763
registry_linkage,216,1.3,2000s,16763
rct,207,1.2,2000s,16763
cohort_prospective,181,1.1,2000s,16763
ecological_timeseries,171,1.0,2000s,16763
psychological_autopsy,171,1.0,2000s,16763
psychometric,143,0.9,2000s,16763
scoping_narrative_review,141,0.8,2000s,16763
mixed_methods,54,0.3,2000s,16763
quasi_experimental,47,0.3,2000s,16763
simulation_modelling,9,0.1,2000s,16763
cross_sectional,3129,9.8,2010s,31894
systematic_review_meta_analysis,1438,4.5,2010s,31894
registry_linkage,897,2.8,2010s,31894
rct,786,2.5,2010s,31894
qualitative_interview,694,2.2,2010s,31894
case_control,693,2.2,2010s,31894
scoping_narrative_review,528,1.7,2010s,31894
cohort_prospective,460,1.4,2010s,31894
psychometric,423,1.3,2010s,31894
ecological_timeseries,386,1.2,2010s,31894
mixed_methods,283,0.9,2010s,31894
psychological_autopsy,218,0.7,2010s,31894
quasi_experimental,154,0.5,2010s,31894
simulation_modelling,43,0.1,2010s,31894
cross_sectional,6387,15.0,2020s,42456
systematic_review_meta_analysis,3159,7.4,2020s,42456
registry_linkage,1619,3.8,2020s,42456
scoping_narrative_review,1573,3.7,2020s,42456
qualitative_interview,1480,3.5,2020s,42456
rct,1240,2.9,2020s,42456
mixed_methods,821,1.9,2020s,42456
ecological_timeseries,800,1.9,2020s,42456
case_control,769,1.8,2020s,42456
cohort_prospective,705,1.7,2020s,42456
psychometric,626,1.5,2020s,42456
quasi_experimental,503,1.2,2020s,42456
psychological_autopsy,131,0.3,2020s,42456
simulation_modelling,50,0.1,2020s,42456
