year,is_empirical,pct_uncited,n
1989,False,15.53,219
1989,True,11.48,575
1990,False,15.95,257
1990,True,8.76,605
1991,False,21.83,229
1991,True,9.39,618
1992,False,16.73,281
1992,True,7.0,643
1993,False,13.52,281
1993,True,7.93,668
1994,False,24.83,286
1994,True,8.28,797
1995,False,17.84,370
1995,True,7.92,770
1996,False,19.05,315
1996,True,6.72,819
1997,False,15.57,379
1997,True,7.63,904
1998,False,17.59,398
1998,True,7.0,943
1999,False,18.79,346
1999,True,5.9,983
2000,False,16.08,398
2000,True,5.57,1006
2001,False,7.42,283
2001,True,4.73,972
2002,False,9.82,275
2002,True,4.75,968
2003,False,12.96,301
2003,True,6.07,1054
2004,False,7.56,291
2004,True,3.5,1144
2005,False,9.01,355
2005,True,3.39,1326
2006,False,9.29,409
2006,True,3.77,1459
2007,False,8.24,364
2007,True,4.1,1511
2008,False,11.03,417
2008,True,3.67,1582
2009,False,10.66,394
2009,True,3.88,1752
2010,False,11.44,411
2010,True,3.53,1872
2011,False,10.55,417
2011,True,3.0,1898
2012,False,13.5,489
2012,True,3.03,2076
2013,False,6.52,491
2013,True,2.96,2295
2014,False,11.09,505
2014,True,2.66,2521
2015,False,11.62,482
2015,True,3.18,2645
2016,False,13.03,545
2016,True,3.39,2836
2017,False,9.98,531
2017,True,3.83,2927
2018,False,8.82,567
2018,True,3.88,3324
2019,False,9.64,581
2019,True,4.67,3556
2020,False,9.83,702
2020,True,6.71,4500
2021,False,14.03,791
2021,True,9.19,5212
2022,False,15.7,739
2022,True,11.81,5197
